Accession,GOids,GOterms,Score,Signal Peptide,Mitochondrion Transit Peptide,Chloroplast Transit Peptide,Transmembrane Alpha Helix,Transmembrane Beta Strand,GPI-anchor
KAI7845646.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845648.1,GO:0009535,C:chloroplast thylakoid membrane,0.72,,,1-31,98-117,,
KAI7845651.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845659.1,GO:0012505,C:endomembrane system,0.63,,,,450-473;519-538,,
KAI7845661.1,GO:0012505,C:endomembrane system,0.9,1-23,,,458-492;494-524;530-556;619-643;648-674;676-687;710-735;763-789;803-819,,
KAI7845667.1,GO:0005615,C:extracellular space,0.81,1-20,,,,,
KAI7845669.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845672.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845683.1,GO:0031966,C:mitochondrial membrane,0.87,,1-51,,89-110;117-138;164-186;188-207;240-263;284-306;312-332;340-364,,
KAI7845686.1,GO:0031966,C:mitochondrial membrane,0.75,,1-65,,110-131;149-172;179-203;235-258;268-292;304-326;361-386;447-458;487-515;538-557;564-588;603-625;655-673;681-704,,
KAI7845688.1,GO:0005615,C:extracellular space,0.89,,,,,,
KAI7845689.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845690.1,GO:0031090,C:organelle membrane,0.78,,,,337-348;350-361,,
KAI7845701.1,GO:0005886,C:plasma membrane,0.94,,,,217-236;615-635;654-673;700-719;738-758;782-808;817-836;863-882;901-920,,
KAI7845704.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7845708.1,GO:0031966,C:mitochondrial membrane,0.72,,1-47,,190-209,,
KAI7845709.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845742.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845743.1,GO:0009507,C:chloroplast,0.88,,,,,,
KAI7845744.1,GO:0005886,C:plasma membrane,0.87,,,,137-161;270-281;577-588,,
KAI7845748.1,GO:0012505,C:endomembrane system,0.98,,,,2-26;50-61;283-302,,
KAI7845749.1,GO:0012505,C:endomembrane system,0.99,,,,2-26;37-48;50-61,,
KAI7845750.1,GO:0031966,C:mitochondrial membrane,0.43,,1-17,,569-580,,
KAI7845791.1,GO:0009535,C:chloroplast thylakoid membrane,0.69,,,1-52,215-229,,
KAI7845792.1,GO:0005886,C:plasma membrane,0.82,,,,1403-1414;1437-1452,,
KAI7845805.1,GO:0012505,C:endomembrane system,0.73,,,,68-79,,
KAI7845806.1,GO:0005737,C:cytoplasm,0.77,,,,,,
KAI7845807.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845810.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845814.1,GO:0005737,C:cytoplasm,1.0,,,,,,
KAI7845816.1,GO:0005886,C:plasma membrane,0.95,,,,60-84;90-111;231-258;267-298;626-660;736-755;768-794;816-837;850-870;896-922,,
KAI7845817.1,GO:0012505,C:endomembrane system,0.77,,,,13-33;156-183;192-223;550-584;661-680;693-719;741-762;775-795;820-846,,
KAI7845818.1,GO:0005739,C:mitochondrion,0.75,,1-59,,,,
KAI7845825.1,GO:0009535,C:chloroplast thylakoid membrane,0.62,,,1-32,142-153,,
KAI7845826.1,GO:0005739,C:mitochondrion,0.86,,1-36,,,,
KAI7845828.1,GO:0012505,C:endomembrane system,0.9,,,,128-142;327-338,,
KAI7845829.1,GO:0031090,C:organelle membrane,0.98,,,,89-100;272-283,,
KAI7845833.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7845835.1,GO:0005739,C:mitochondrion,0.75,,1-21,,,,
KAI7845836.1,GO:0005739,C:mitochondrion,0.7,,1-58,,,,
KAI7845840.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845845.1,GO:0031090,C:organelle membrane,0.91,,,,141-163;192-213;249-274,,
KAI7845849.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845853.1,GO:0031966,C:mitochondrial membrane,0.82,,1-38,,126-149;154-177;188-202;269-289;365-382,,
KAI7845862.1,GO:0005886,C:plasma membrane,0.86,,,,9-24,,
KAI7845866.1,GO:0009507,C:chloroplast,0.88,,,,,,
KAI7845878.1,GO:0009707,C:chloroplast outer membrane,0.88,,,1-60,143-156;1024-1035;1479-1490,,
KAI7845881.1,GO:0012505,C:endomembrane system,0.99,,,,19-43;77-109,,
KAI7845884.1,GO:0031966,C:mitochondrial membrane,0.52,,1-25,,66-84;190-201;221-238,,
KAI7845889.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845903.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845909.1,GO:0005615,C:extracellular space,1.0,1-16,,,,,
KAI7845914.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845921.1,GO:0012505,C:endomembrane system,0.9,,,,390-407;673-690,,
KAI7845923.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845924.1,GO:0031090,C:organelle membrane,0.98,,,,157-179;204-223;255-280,,
KAI7845925.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845927.1,GO:0005886,C:plasma membrane,0.94,,,,5-21;135-156;179-190;553-575;868-884;1032-1051;1061-1078;1302-1313,,
KAI7845944.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845962.1,GO:0005886,C:plasma membrane,0.93,,,,485-510;518-542;552-577;590-612;624-641;716-738,,
KAI7845967.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845968.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845979.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7845993.1,GO:0005615,C:extracellular space,1.0,1-21,,,,,
KAI7846001.1,GO:0012505,C:endomembrane system,0.95,,,,11-28;42-66;150-169;183-200;232-259;315-342,,
KAI7846010.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7846011.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7846013.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7846014.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7846026.1,GO:0005739,C:mitochondrion,0.88,,1-60,,,,
KAI7846029.1,GO:0005886,C:plasma membrane,1.0,,,,86-111;117-133;139-158;175-205;209-233;258-278;290-309;342-369;415-433;444-477;997-1008;1030-1044,,
KAI7846034.1,GO:0009707,C:chloroplast outer membrane,0.81,,,1-44,270-285,,
KAI7846048.1,GO:0031090,C:organelle membrane,0.78,,,,306-322,,
KAI7846051.1,GO:0005739,C:mitochondrion,0.88,,1-33,,,,
KAI7846055.1,GO:0009535,C:chloroplast thylakoid membrane,0.84,,,1-52,116-127,,
KAI7846059.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7846066.1,GO:0005615,C:extracellular space,0.81,1-31,,,,,
KAI7846072.1,GO:0005739,C:mitochondrion,0.95,,1-38,,,,
KAI7846075.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7846080.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7846082.1,GO:0005739,C:mitochondrion,0.72,,1-43,,,,
KAI7846093.1,GO:0005615,C:extracellular space,0.8,1-28,,,,,
KAI7846104.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7846106.1,GO:0005739,C:mitochondrion,0.78,,1-28,,,,
KAI7846108.1,GO:0005737,C:cytoplasm,0.86,,,,,,
KAI7846115.1,GO:0012505,C:endomembrane system,0.98,,,,10-31;55-75;89-106;116-139;151-177;186-205;216-234;251-270;296-315;601-613;772-796;801-826;841-868;879-901;910-936;944-968,,
KAI7846119.1,GO:0005615,C:extracellular space,1.0,1-17,,,,,
KAI7846122.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7846128.1,GO:0009707,C:chloroplast outer membrane,0.8,,,1-50,202-217,,
KAI7846131.1,GO:0005739,C:mitochondrion,0.59,,1-18,,,,
KAI7846153.1,GO:0005739,C:mitochondrion,0.85,,1-37,,,,
KAI7846180.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7846191.1,GO:0005615,C:extracellular space,0.89,1-32,,,,,
KAI7846193.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7846203.1,GO:0005739,C:mitochondrion,0.52,,1-35,,,,
KAI7846208.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7846222.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7846232.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7846233.1,GO:0012505,C:endomembrane system,0.78,,,,115-126;163-188,,
KAI7846238.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7846244.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7846251.1,GO:0005739,C:mitochondrion,0.85,,1-43,,,,
KAI7846263.1,GO:0012505,C:endomembrane system,0.98,,,,17-42;61-82;131-150;450-466,,
KAI7846277.1,GO:0005615,C:extracellular space,0.75,,,,,,
KAI7846278.1,GO:0005886,C:plasma membrane,1.0,,,,26-43,,
KAI7846293.1,GO:0031090,C:organelle membrane,0.8,,,,590-603,,
KAI7846299.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7846300.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7846301.1,GO:0012505,C:endomembrane system,0.96,,,,257-281;291-318,,
KAI7846313.1,GO:0009507,C:chloroplast,0.5,,,,,,
KAI7846316.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7846319.1,GO:0005739,C:mitochondrion,0.89,,1-31,,,,
KAI7846330.1,GO:0005615,C:extracellular space,1.0,,,,,,
KAI7846334.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7846341.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7846343.1,GO:0005739,C:mitochondrion,0.93,,1-40,,,,
KAI7846350.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7846366.1,GO:0005886,C:plasma membrane,0.74,,,,273-291,,
KAI7846394.1,GO:0012505,C:endomembrane system,0.97,,,,5-26;40-59;156-167,,
KAI7846396.1,GO:0005886,C:plasma membrane,0.95,,,,448-471;489-509;540-560;576-592;708-727;736-759;766-786;799-818;822-841;850-871,,
KAI7846406.1,GO:0009507,C:chloroplast,0.85,,,,,,
KAI7846407.1,GO:0005739,C:mitochondrion,0.85,,1-37,,,,
KAI7846414.1,GO:0012505,C:endomembrane system,0.56,1-19,,,396-412,,
KAI7846415.1,GO:0005886,C:plasma membrane,0.94,,,,228-246;353-364,,
KAI7846419.1,GO:0005739,C:mitochondrion,0.74,,1-47,,,,
KAI7846430.1,GO:0009707,C:chloroplast outer membrane,0.86,,,1-58,79-98,,
KAI7846431.1,GO:0009707,C:chloroplast outer membrane,0.92,,,1-58,79-98,,
KAI7846437.1,GO:0012505,C:endomembrane system,0.83,,,,369-388;404-427;742-770;905-924,,
KAI7846441.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7846444.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7846446.1,GO:0046658,C:anchored component of plasma membrane,0.7,1-20,,,,,512-512
KAI7846455.1,GO:0005739,C:mitochondrion,0.92,,1-48,,,,
KAI7846456.1,GO:0031966,C:mitochondrial membrane,0.8,,1-48,,110-129,,
KAI7846465.1,GO:0005886,C:plasma membrane,0.72,,,,10-29;359-370;503-520,,
KAI7846468.1,GO:0005739,C:mitochondrion,0.68,,1-32,,,,
KAI7846469.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7846472.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7846473.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7846480.1,GO:0009707,C:chloroplast outer membrane,0.8,,,1-33,335-346,,
KAI7846484.1,GO:0005886,C:plasma membrane,0.82,,,,327-338;456-476,,
KAI7846500.1,GO:0005737,C:cytoplasm,0.7,,,,,,
